,name,link,address,postcode,phone_number,founded_year,summary_description,nums_employee,website,technology,industry_focus,similar_companies,company_id
0,Morgan McKinley,https://www.linkedin.com/company/morgan-mckinley,"Morgan McKinley 383 Kent St, Sydney, NSW, Australia",2000,,1988.0,"Morgan McKinley is a global talent services expert, offering the full spectrum of solutions to meet employers’ and jobseekers’ needs.

Founded in 1988, we are located in key financial centres across the world, with 19 offices in 10 countries (Ireland, UK, Australia, Canada, Mainland China, Hong Kong SAR, Singapore, Japan, India and Philippines) and nearly 1,000 employees. Our global head office is located in Cork, Ireland.

Morgan McKinley provides three distinct solutions for our customers:
Recruitment Solutions encompassing deep expertise across 10 professional disciplines offering temporary, contract and permanent recruitment; 
Executive Search for targeted C-Suite talent searches; 
Talent Solutions including RPO, MSP, Project Recruitment and more.

Let us help you Go Beyond.


Our commitments...

Wherever we do business, we always put down local roots and engage with the community through CSR projects and charitable work. We have a multinational and multicultural team, and as a result, you will find a vibrant and welcoming atmosphere in any of our offices.",1001-5000,http://www.morganmckinley.com,"['Professional Services Recruitment', 'Recruitment Consultancy', 'Executive Search', 'MSP', 'RPO', 'Project Recruitment', 'Resource Augmentation', 'Managed Services', 'C-Suite Talent', 'Talent Mapping', 'Technology Recruitment', 'Technology Recruitment', 'Legal', 'Risk & Compliance Recruitment', 'Accountancy & Finance Recruitment ', 'Banking & Financial Services Recruitment', 'Business Support Recruitment', 'HR Recruitment', 'Life Sciences & Engineering Recruitment', 'Project & Change Recruitment', 'Sales & Marketing Recruitment', 'Supply Chain & Procurement Recruitment', 'Organisational Design & Development']",Staffing and Recruiting,"[{'name': 'Cpl', 'link': 'https://ie.linkedin.com/company/cpl', 'industry': 'Staffing and Recruiting', 'location': 'Dublin 2, County Dublin'}, {'name': 'Hays', 'link': 'https://uk.linkedin.com/company/hays', 'industry': 'Staffing and Recruiting', 'location': 'London, England'}, {'name': 'Sigmar Recruitment', 'link': 'https://ie.linkedin.com/company/sigmar-recruitment', 'industry': 'Staffing and Recruiting', 'location': None}, {'name': 'Michael Page', 'link': 'https://uk.linkedin.com/company/michael-page', 'industry': 'Staffing and Recruiting', 'location': 'Addlestone, Weybridge'}, {'name': 'Robert Walters', 'link': 'https://uk.linkedin.com/company/robert-walters', 'industry': 'Staffing and Recruiting', 'location': 'London, Greater London'}, {'name': 'FRS Recruitment', 'link': 'https://ie.linkedin.com/company/frs-recruitment', 'industry': 'Staffing and Recruiting', 'location': None}, {'name': 'Robert Half', 'link': 'https://www.linkedin.com/company/robert-half-international', 'industry': 'Staffing and Recruiting', 'location': 'Menlo Park, CA'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Deloitte', 'link': 'https://www.linkedin.com/company/deloitte', 'industry': 'Business Consulting and Services', 'location': None}, {'name': 'Cooper Fitch', 'link': 'https://ae.linkedin.com/company/cooper-fitch', 'industry': 'Staffing and Recruiting', 'location': None}]",
1,FinClear,https://www.linkedin.com/company/finclear-execution-limited,"Level 8, 118 Mount Street, North Sydney, NSW, Australia",2060,,2016.0,"FinClear is a technology and financial market infrastructure company. In addition to operating its own HIN platform, FinClear enables wealth and stockbroking entities through the provision of platform technology solutions and market access.

FinClear either directly trades, clears and settles or provides technology that services more than 50% of all retail equity transactions every day in Australia.",51-200,http://www.finclear.com.au,"['Stock broking', 'Equities Research', 'Portfolio Administration', 'Managed Accounts', 'Model Portfolio', 'Wholesale Financial Services', 'Direct Market Access', 'Third Party Clearing']",Financial Services,"[{'name': 'Openmarkets Group', 'link': 'https://au.linkedin.com/company/openmarketsgroup', 'industry': 'Financial Services', 'location': 'Sydney, New South Wales'}, {'name': 'FCX', 'link': 'https://au.linkedin.com/company/fcx', 'industry': 'Financial Services', 'location': 'Surry Hills, New South Wales'}, {'name': 'Superhero', 'link': 'https://au.linkedin.com/company/superheroau', 'industry': 'Financial Services', 'location': None}, {'name': 'Selfwealth', 'link': 'https://au.linkedin.com/company/selfwealth-ltd', 'industry': 'Financial Services', 'location': 'Melbourne, VICTORIA'}, {'name': 'BNY Mellon | Pershing', 'link': 'https://www.linkedin.com/company/bnymellonpershing', 'industry': 'Financial Services', 'location': 'Jersey City, New Jersey'}, {'name': 'Stake', 'link': 'https://au.linkedin.com/company/hello-stake', 'industry': 'Financial Services', 'location': 'Sydney , New South Wales'}, {'name': 'LGT Crestone Wealth Management Limited', 'link': 'https://au.linkedin.com/company/lgt-crestone-wealth-management', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'AUSIEX', 'link': 'https://au.linkedin.com/company/ausiex', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'Shaw and Partners', 'link': 'https://au.linkedin.com/company/shaw-and-partners-limited', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'TradeFloor', 'link': 'https://au.linkedin.com/company/tradefloor', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}]",
2,Atlassian,https://www.linkedin.com/company/atlassian,"Level 6/341 George St, Sydney, NSW, Australia",2000,,2002.0,"We're a team of 7000+ Atlassians supporting an international group of 250,000+ customers. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned. ",5001-10000,http://www.atlassian.com/,"['b2b enterprise software', 'bug tracker', 'issue tracker', 'enterprise wiki', 'corporate wiki', 'business wiki', 'team collaboration', 'project management', 'downtime communication']",Computer Software,"[{'name': 'Salesforce', 'link': 'https://www.linkedin.com/company/salesforce', 'industry': 'Software Development', 'location': 'San Francisco, CA'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Adobe', 'link': 'https://www.linkedin.com/company/adobe', 'industry': 'Software Development', 'location': 'San Jose, CA'}, {'name': 'Microsoft', 'link': 'https://www.linkedin.com/company/microsoft', 'industry': 'Software Development', 'location': 'Redmond, Washington'}, {'name': 'Intuit', 'link': 'https://www.linkedin.com/company/intuit', 'industry': 'Software Development', 'location': 'Mountain View, California'}, {'name': 'Slack', 'link': 'https://www.linkedin.com/company/tiny-spec-inc', 'industry': 'Technology, Information and Internet', 'location': 'San Francisco, California'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Airbnb', 'link': 'https://www.linkedin.com/company/airbnb', 'industry': 'Software Development', 'location': 'San Francisco, CA'}, {'name': 'Meta', 'link': 'https://www.linkedin.com/company/meta', 'industry': 'Software Development', 'location': 'Menlo Park, CA'}]",
3,Bilue,https://www.linkedin.com/company/bilue,"4-6 Bligh St, Sydney, New South Wales, Australia",2000,,2011.0,"We're a team of researchers, designers, engineers, architects, innovators and change makers.We help transform organisations by building design led, digital solutions.For over ten years we have worked with some of Australia’s biggest brands, delivering innovative experiences on both mobile and the latest in emerging technology.With offices in both Sydney and Melbourne, Bilue is driven by its mission to 'mobilise millions of people'. We strive for technical excellence, but we thrive on human connection. We support one another to challenge ourselves and our clients in the pursuit of continuous improvement. We’re welcoming, fun and we value the experience and knowledge of our mates.To thank our employees for the value they bring to our business, we offer a wide range of benefits including workplace flexibility, a generous annual training budget, additional leave for training and development, a new laptop every 3 years, and our personal favourite - you can take your birthday off! Yep, fully paid. The fact we partner with clients from a vast array of industries also means our team gets the opportunity to work on a range of technologies to expand their knowledge. We aim to rotate projects every six months to further increase opportunities for new experiences, learnings and relationships. To find out more, check out our website or get in touch!https://bilue.com.au/careers/careers@bilue.com.au",51-200,http://bilue.com.au,"['Mobile Product Strategy', 'Mobile Development', 'User Experience Design', 'Innovation', 'Emerging Technology', 'Augmented & Virtual Reality', 'Chatbots', 'Voice Apps', 'Machine Learning', 'Blockchain', 'UX Research']",Information Technology & Services,"[{'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Freely', 'link': 'https://au.linkedin.com/company/gofreely', 'industry': 'Insurance', 'location': None}, {'name': 'Concentrix Tigerspike', 'link': 'https://www.linkedin.com/company/concentrixtigerspike', 'industry': 'IT Services and IT Consulting', 'location': 'Beaverton, OR'}, {'name': 'DiUS', 'link': 'https://au.linkedin.com/company/dius-computing', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Gomeeki', 'link': 'https://au.linkedin.com/company/gomeeki', 'industry': 'Internet Publishing', 'location': 'North Sydney, New South Wales'}, {'name': 'Step Global', 'link': 'https://au.linkedin.com/company/stepglobal', 'industry': 'IT Services and IT Consulting', 'location': 'Heatherton, Victoria'}, {'name': 'THE ICONIC', 'link': 'https://au.linkedin.com/company/the-iconic', 'industry': 'Retail', 'location': 'Sydney, NSW'}, {'name': 'Kablamo', 'link': 'https://au.linkedin.com/company/kablamo-pty-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Bourne Digital Pty Ltd', 'link': 'https://au.linkedin.com/company/bourne-digital-pty-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, VIc'}]",
4,swipejobs,https://www.linkedin.com/company/swipejobs,"99 Walker St Level 1, North Sydney, New South Wales, Australia",2060,,2013.0,"swipejobs is an on-demand labor technology platform headquartered in Dallas Fort Worth and Sydney, focussed on the US market.

We are a mobile technology platform, not a mobile app. We partner with staffing firms and consumer technology platforms to offer a complete mobile solution that is integrated real time with their systems. At the heart of swipejobs is a transformational matching technology that matches on-demand workers with employers.",201-500,http://www.swipejobs.com,"['mobile platform', 'smart phone technology', 'cutting edge tech stack', 'innovation', 'mobile apps']",Software Development,"[{'name': 'swipejobs', 'link': 'https://www.linkedin.com/company/swipejobs-us', 'industry': 'Staffing and Recruiting', 'location': 'Dallas, Texas'}, {'name': 'Rokt', 'link': 'https://www.linkedin.com/company/rokt', 'industry': 'Software Development', 'location': None}, {'name': 'Corestaff Services', 'link': 'https://www.linkedin.com/company/corestaff-services', 'industry': 'Staffing and Recruiting', 'location': 'Atlanta, GA'}, {'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'HCF Australia', 'link': 'https://au.linkedin.com/company/hcf', 'industry': 'Insurance', 'location': 'Sydney, NSW'}, {'name': 'Premier Employment Solutions', 'link': 'https://www.linkedin.com/company/premier-employment-solutions', 'industry': 'Staffing and Recruiting', 'location': 'Topeka, Kansas'}, {'name': 'WooliesX', 'link': 'https://au.linkedin.com/company/wooliesx', 'industry': 'Retail', 'location': None}, {'name': 'DiUS', 'link': 'https://au.linkedin.com/company/dius-computing', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Influence', 'link': 'https://www.linkedin.com/company/useinfluence', 'industry': 'IT Services and IT Consulting', 'location': 'Fremont, California'}]",
5,Bigtincan,https://www.linkedin.com/company/bigtincan,"Level 6, 338 Pitt Street, Sydney, NSW, Australia",2000,,2011.0,"Bigtincan is helping the world’s leading brands facilitate the buying experience of the future. Everything we offer is designed to be smart, flexible, and easily adapted to unique business processes with highly personalized experiences that people and brands love. We’re on a mission to help companies deliver branded buying experiences that are engaging, personalized, provide value and guide people to the best decisions with confidence. Innovative companies like Nike, Guess, Prudential, and Starwood Hotels trust Bigtincan to enable customer-facing teams to intelligently prepare, engage, measure and continually improve the buying experience for their customers. For more information about Bigtincan (ASX: BTH), visit: www.bigtincan.com or follow @bigtincan on Twitter.",201-500,http://www.bigtincan.com,"['Enterprise Content Enablement', 'Sales Marketing Alignment', 'Sales Enablement Automation', 'Sales Enablement', 'Revenue Enablement', 'LMS', 'Learning', 'Sales Training', 'Document Automation', 'Sales Content Management', 'Sales Coaching']",Software Development,"[{'name': 'Brainshark', 'link': 'https://www.linkedin.com/company/brainshark', 'industry': 'Software Development', 'location': 'Waltham, MA'}, {'name': 'Veelo - A Bigtincan™ Company', 'link': 'https://www.linkedin.com/company/veelo', 'industry': 'IT Services and IT Consulting', 'location': 'Portland, Oregon'}, {'name': 'Seismic', 'link': 'https://www.linkedin.com/company/seismic', 'industry': 'Software Development', 'location': 'San Diego, CA'}, {'name': 'ClearSlide', 'link': 'https://www.linkedin.com/company/clearslide-inc-', 'industry': 'Technology, Information and Internet', 'location': 'San Francisco, California'}, {'name': 'Highspot', 'link': 'https://www.linkedin.com/company/highspot', 'industry': 'Software Development', 'location': 'Seattle, Washington'}, {'name': 'Allego', 'link': 'https://www.linkedin.com/company/allego-inc-', 'industry': 'Software Development', 'location': 'Waltham, Massachusetts'}, {'name': 'Gong', 'link': 'https://www.linkedin.com/company/gong-io', 'industry': 'Software Development', 'location': 'San Francisco, California'}, {'name': 'Salesloft', 'link': 'https://www.linkedin.com/company/salesloft', 'industry': 'Software Development', 'location': 'Atlanta, GA'}, {'name': 'Agnitio - A Bigtincan Company', 'link': 'https://dk.linkedin.com/company/agnitio', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Outreach', 'link': 'https://www.linkedin.com/company/outreach-saas', 'industry': 'Software Development', 'location': 'Seattle, Washington'}]",
6,"Enable, a Fujitsu company",https://www.linkedin.com/company/enable-a-fujitsu-company,"Level 7, 600 Bourke Street, Melbourne, Victoria, Australia",3000,,2014.0,"Enable is a pure-play ServiceNow consultancy—100% dedicated to the delivery of ServiceNow advisory, consulting and delivery services. With more than 350 consultants in our ServiceNow practice, we’re the most qualified, certified and capable ServiceNow partner in the APJ region.We’ve been recognised as ServiceNow’s Global Services Excellence Partner of the Year, APJ IT Workflow Partner of the Year 2021, APJ Customer Workflow Partner of the Year 2022, APJ and Global App Development Platform Partner of the Year 2022 and APJ Elite Partner of the Year for 2020, 2021 and 2022. And our fast growth has been highlighted by our 3 time CRN Fast50 achievements in 2017, 2018, 2019.Our focus is enterprise service management, and we have deep knowledge of and experience in digital and business transformation. Enable has dedicated practices in Customer Service Experience, IT Transformation, Employee Service Experience and Integrated Risk Management. We also have Innovation and Organisational Change Management practices that are intrinsic to everything we do. Our Principal Consultants and consulting and delivery team bring many years of experience and innovation across all ServiceNow modules, including HR, GRC, SecOps, CSM, ITOM, ITBM and ITSM.Headquartered in Australia, we have offices in Melbourne, Sydney, Adelaide, Perth and Brisbane, plus centres of excellence (with development teams) in Noida and Bangalore, India and Manila, Philippines. We cover the south and north Asia markets through our offices in Singapore, Hong Kong and Philippines.",201-500,http://www.enableps.com/,"['ServiceNow', 'PAAS & SAAS', 'User & Customer Experience', 'Enterprise Service Management', 'Consulting', 'Digital Transformation', 'Application Development', 'UX', 'Cloud', 'GRC', 'Security Operations', 'CSM', 'IRM', 'Customer Service Management', 'ITSM', 'ITOM', 'OCM', 'Organisational Change Management']",Information Technology & Services,[],
7,Fivecast,https://www.linkedin.com/company/fivecast,"North Terrace, Adelaide, South Australia, Australia",5067,,2017.0,"The mission of Fivecast is to enable a safer world. Fivecast is a world-leading provider of digital intelligence solutions that enable the world’s most important public and private organizations to explore masses of data, uncovering actionable insights which are critical to protecting global communities.",51-200,https://fivecast.com/,,Software Development,"[{'name': 'Energy Exemplar', 'link': 'https://au.linkedin.com/company/energy-exemplar', 'industry': 'Software Development', 'location': 'Adelaide, SA'}, {'name': 'PixelForce', 'link': 'https://au.linkedin.com/company/pixelforce', 'industry': 'Business Consulting and Services', 'location': 'Kent Town, South Australia'}, {'name': 'Seed Terminator', 'link': 'https://au.linkedin.com/company/seed-terminator', 'industry': 'Industrial Machinery Manufacturing', 'location': 'Lonsdale, South Australia'}, {'name': 'ODD Games Pty Ltd', 'link': 'https://au.linkedin.com/company/odd-games', 'industry': 'Entertainment Providers', 'location': 'Adelaide, South Australia'}, {'name': 'Lumary', 'link': 'https://au.linkedin.com/company/lumaryau', 'industry': 'Software Development', 'location': None}, {'name': 'Prevail Partners Limited', 'link': 'https://uk.linkedin.com/company/prevail-partners-ltd', 'industry': 'Security and Investigations', 'location': None}, {'name': 'Data to Decisions CRC', 'link': 'https://au.linkedin.com/company/data-to-decisions-crc', 'industry': 'Defense and Space Manufacturing', 'location': 'Kent Town, SA'}, {'name': 'Fleet Space Technologies', 'link': 'https://au.linkedin.com/company/fleet-space-technologies', 'industry': 'Telecommunications', 'location': 'Beverley, South Australia'}, {'name': 'Foxie Games', 'link': 'https://au.linkedin.com/company/foxie-games', 'industry': 'Entertainment Providers', 'location': 'Adelaide, SA'}, {'name': 'AZZO', 'link': 'https://au.linkedin.com/company/azzo-pty-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Tonsley Innovation District, SA'}]",
8,Subaru Australia,https://www.linkedin.com/company/subaru-australia,"Level 3, 4 Burbank Place, Norwest, NSW, Australia",2153,,,"Subaru has been part of Australian family life since 1973. We’ve forged a proud history of getting families to where they need to be (no matter how rough the road). But, we aspire to do more. 

To bring family and friends closer. To enjoy the magic of living in the moment. Because when we do, the unexpectedly awesome happens. In our life, every moment is a chance to laugh. To learn. A chance to sing. To scream. To love. To share. In our life, every moment is a chance to do.

Whilst Subaru Australia welcome all questions and commentary – including constructive feedback – and want all members of our community to be able to express their opinions and experiences freely; for legal reasons, all posts on official Subaru Australia social media channels will be regularly moderated in line with our Social Media Guidelines, located here https://bit.ly/2YZsNgR",51-200,http://www.subaru.com.au/,,Motor Vehicle Manufacturing,"[{'name': 'Toyota Motor Corporation Australia', 'link': 'https://au.linkedin.com/company/toyota-motor-corporation-australia', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Port Melbourne, Victoria'}, {'name': 'Hyundai Motor Company Australia', 'link': 'https://au.linkedin.com/company/hyundai-motor-company-australia', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Sydney, NSW'}, {'name': 'Volkswagen Group Australia', 'link': 'https://au.linkedin.com/company/volkswagen-group-australia', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Zetland, New South Wales'}, {'name': 'Mercedes-Benz Australia', 'link': 'https://au.linkedin.com/company/mercedes-benz-australia', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Melbourne, VIC'}, {'name': 'Mazda Australia Pty Ltd', 'link': 'https://au.linkedin.com/company/mazda-australia-pty-ltd', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Melbourne, Victoria'}, {'name': 'Audi Australia', 'link': 'https://au.linkedin.com/company/audi-australia-pty-ltd', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Zetland, NSW'}, {'name': 'Kia Australia Pty Ltd', 'link': 'https://au.linkedin.com/company/kia-australia-pty-ltd', 'industry': 'Motor Vehicle Manufacturing', 'location': None}, {'name': 'Honda Australia Motor Vehicles', 'link': 'https://au.linkedin.com/company/hondaaustralia', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Tullamarine, Victoria'}, {'name': 'Porsche Cars Australia', 'link': 'https://au.linkedin.com/company/porscheaus', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Collingwood, Victoria'}, {'name': 'Lexus Australia', 'link': 'https://au.linkedin.com/company/lexus-australia', 'industry': 'Motor Vehicle Manufacturing', 'location': 'Port Melbourne, VIC'}]",
9,Queensland Government,https://www.linkedin.com/company/queensland-government,"1 William Street, Brisbane, Queensland, Australia",4000,,,"We are the largest and most diverse organisation in our state. We have more than 30 government departments and agencies providing essential services across 4000+ locations—from the Torres Strait to the Gold Coast; Mount Isa to Brisbane.We are passionate about making Queensland better through what we do and supporting our employees to create the career and life that is right for them.This page is monitored by Queensland Government employees from 8am to 5pm, Monday to Friday.HOUSE RULESWe encourage open dialogue, but request that you are respectful of other users and their opinions.By connecting with this Queensland Government LinkedIn page, we ask you to keep in mind the following:— all users must comply with LinkedIn policies and terms of use— please do not post content or comments that could be considered•	abusive or obscene, name calling, harassment or personal attacks•	defamatory towards a person or people•	prejudicial, inflammatory or offensive•	deceptive, misleading or false information about an individual, organisation, government or entity•	personal or sensitive information about yourself or others•	in violation of any intellectual property rights, or any other law or regulation•	promotion of a product, business, company or organisation•	off-topic or spam, including the same comment posted repeatedly.Any content or comments deemed to fit under these definitions will be deleted. Users found to repeatedly post these types of comments will be banned from this page.You should report any offensive material presented on LinkedIn. Complaints about anything you consider to be offensive should be made directly to LinkedIn.CURRENT CONDITIONS© The State of Queensland (Public Service Commission) 2020Subject to LinkedIn’s Statement of Rights and Responsibilities, all content released on this page is licensed under a Creative Commons Attribution (BY) 2.5 Australia Licence. Permissions may be available beyond the scope of this licence.",74054-74054,http://www.qld.gov.au,"['health', 'education', 'transport', 'justice', 'police, fire & emergency', 'Aboriginal & Torres Strait Islander', 'environment', 'communities', 'child safety & disability', 'agriculture', 'energy & water', 'housing', 'infrastructure', 'local government & planning', 'IT & innovation', 'tourism']",Government Administration,"[{'name': 'Department of Employment, Small Business and Training', 'link': 'https://www.linkedin.com/company/department-of-employment-small-business-and-training', 'industry': 'Government Administration', 'location': None}, {'name': 'Queensland Public Service Commission', 'link': 'https://www.linkedin.com/company/qld-public-service-commission', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Resources (Queensland)', 'link': 'https://www.linkedin.com/company/resourcesqld', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of State Development, Infrastructure, Local Government and Planning', 'link': 'https://www.linkedin.com/company/department-of-state-development-infrastructure-local-government-planning', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Children, Youth Justice and Multicultural Affairs', 'link': 'https://www.linkedin.com/company/dcyjma', 'industry': 'Government Administration', 'location': None}, {'name': 'Queensland Health', 'link': 'https://www.linkedin.com/company/queensland-health', 'industry': 'Hospital & Health Care', 'location': None}, {'name': 'Department of Agriculture and Fisheries (Queensland)', 'link': 'https://www.linkedin.com/company/department-of-agriculture-and-fisheries', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Regional Development, Manufacturing and Water', 'link': 'https://www.linkedin.com/company/qld-regional-development', 'industry': 'Government Administration', 'location': None}, {'name': 'Electoral Commission of Queensland', 'link': 'https://www.linkedin.com/company/ecq', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Seniors, Disability Services and Aboriginal and Torres Strait Islander Partnerships', 'link': 'https://www.linkedin.com/company/dsdsatsip', 'industry': 'Government Administration', 'location': None}, {'name': 'Queensland Treasury', 'link': 'https://www.linkedin.com/company/queensland-treasury', 'industry': 'Government Administration', 'location': None}, {'name': 'Queensland Fire and Emergency Services', 'link': 'https://www.linkedin.com/company/queensland-fire-and-emergency-services', 'industry': 'Public Safety', 'location': None}, {'name': 'Queensland Museum Network', 'link': 'https://www.linkedin.com/company/queensland-museum-network', 'industry': 'Museums & Institutions', 'location': None}, {'name': 'Department of Justice and Attorney-General QLD', 'link': 'https://www.linkedin.com/company/department-of-justice-qld', 'industry': 'Government Administration', 'location': None}, {'name': 'Queensland Corrective Services', 'link': 'https://www.linkedin.com/company/queensland-corrective-services', 'industry': 'Public Safety', 'location': None}, {'name': 'State Library of Queensland', 'link': 'https://www.linkedin.com/company/state-library-of-queensland', 'industry': 'Libraries', 'location': None}, {'name': 'Queensland Mental Health Commission', 'link': 'https://www.linkedin.com/company/queensland-mental-health-commission', 'industry': 'Public Policy', 'location': None}, {'name': 'Department of Communities, Housing and Digital Economy Queensland', 'link': 'https://www.linkedin.com/company/department-of-communities-housing-and-digital-economy-queensland', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Transport and Main Roads', 'link': 'https://www.linkedin.com/company/tmrqld', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Tourism, Innovation and Sport', 'link': 'https://www.linkedin.com/company/department-of-tourism-innovation-and-sport', 'industry': 'Government Administration', 'location': None}, {'name': 'Queensland Department of Education', 'link': 'https://www.linkedin.com/company/queensland-department-of-education', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of Environment and Science', 'link': 'https://www.linkedin.com/company/department-of-environment-and-science', 'industry': 'Government Administration', 'location': None}, {'name': 'Department of the Premier and Cabinet (Queensland)', 'link': 'https://www.linkedin.com/company/department-of-the-premier-and-cabinet-qld-', 'industry': 'Government Administration', 'location': None}, {'name': 'Trade and Investment Queensland', 'link': 'https://www.linkedin.com/company/tradeinvestqld', 'industry': 'Government Relations', 'location': None}]",
