,name,link,address,postcode,phone_number,founded_year,summary_description,nums_employee,website,technology,industry_focus,similar_companies,company_id
2,Atlassian,https://www.linkedin.com/company/atlassian,"Level 6/341 George St, Sydney, NSW, Australia",2000,,2002.0,"We're a team of 7000+ Atlassians supporting an international group of 250,000+ customers. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned. ",5001-10000,http://www.atlassian.com/,"['b2b enterprise software', 'bug tracker', 'issue tracker', 'enterprise wiki', 'corporate wiki', 'business wiki', 'team collaboration', 'project management', 'downtime communication']",Computer Software,"[{'name': 'Salesforce', 'link': 'https://www.linkedin.com/company/salesforce', 'industry': 'Software Development', 'location': 'San Francisco, CA'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Adobe', 'link': 'https://www.linkedin.com/company/adobe', 'industry': 'Software Development', 'location': 'San Jose, CA'}, {'name': 'Microsoft', 'link': 'https://www.linkedin.com/company/microsoft', 'industry': 'Software Development', 'location': 'Redmond, Washington'}, {'name': 'Intuit', 'link': 'https://www.linkedin.com/company/intuit', 'industry': 'Software Development', 'location': 'Mountain View, California'}, {'name': 'Slack', 'link': 'https://www.linkedin.com/company/tiny-spec-inc', 'industry': 'Technology, Information and Internet', 'location': 'San Francisco, California'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Airbnb', 'link': 'https://www.linkedin.com/company/airbnb', 'industry': 'Software Development', 'location': 'San Francisco, CA'}, {'name': 'Meta', 'link': 'https://www.linkedin.com/company/meta', 'industry': 'Software Development', 'location': 'Menlo Park, CA'}]",
3,Bilue,https://www.linkedin.com/company/bilue,"4-6 Bligh St, Sydney, New South Wales, Australia",2000,,2011.0,"We're a team of researchers, designers, engineers, architects, innovators and change makers.We help transform organisations by building design led, digital solutions.For over ten years we have worked with some of Australia’s biggest brands, delivering innovative experiences on both mobile and the latest in emerging technology.With offices in both Sydney and Melbourne, Bilue is driven by its mission to 'mobilise millions of people'. We strive for technical excellence, but we thrive on human connection. We support one another to challenge ourselves and our clients in the pursuit of continuous improvement. We’re welcoming, fun and we value the experience and knowledge of our mates.To thank our employees for the value they bring to our business, we offer a wide range of benefits including workplace flexibility, a generous annual training budget, additional leave for training and development, a new laptop every 3 years, and our personal favourite - you can take your birthday off! Yep, fully paid. The fact we partner with clients from a vast array of industries also means our team gets the opportunity to work on a range of technologies to expand their knowledge. We aim to rotate projects every six months to further increase opportunities for new experiences, learnings and relationships. To find out more, check out our website or get in touch!https://bilue.com.au/careers/careers@bilue.com.au",51-200,http://bilue.com.au,"['Mobile Product Strategy', 'Mobile Development', 'User Experience Design', 'Innovation', 'Emerging Technology', 'Augmented & Virtual Reality', 'Chatbots', 'Voice Apps', 'Machine Learning', 'Blockchain', 'UX Research']",Information Technology & Services,"[{'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Freely', 'link': 'https://au.linkedin.com/company/gofreely', 'industry': 'Insurance', 'location': None}, {'name': 'Concentrix Tigerspike', 'link': 'https://www.linkedin.com/company/concentrixtigerspike', 'industry': 'IT Services and IT Consulting', 'location': 'Beaverton, OR'}, {'name': 'DiUS', 'link': 'https://au.linkedin.com/company/dius-computing', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Gomeeki', 'link': 'https://au.linkedin.com/company/gomeeki', 'industry': 'Internet Publishing', 'location': 'North Sydney, New South Wales'}, {'name': 'Step Global', 'link': 'https://au.linkedin.com/company/stepglobal', 'industry': 'IT Services and IT Consulting', 'location': 'Heatherton, Victoria'}, {'name': 'THE ICONIC', 'link': 'https://au.linkedin.com/company/the-iconic', 'industry': 'Retail', 'location': 'Sydney, NSW'}, {'name': 'Kablamo', 'link': 'https://au.linkedin.com/company/kablamo-pty-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Bourne Digital Pty Ltd', 'link': 'https://au.linkedin.com/company/bourne-digital-pty-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, VIc'}]",
4,swipejobs,https://www.linkedin.com/company/swipejobs,"99 Walker St Level 1, North Sydney, New South Wales, Australia",2060,,2013.0,"swipejobs is an on-demand labor technology platform headquartered in Dallas Fort Worth and Sydney, focussed on the US market.

We are a mobile technology platform, not a mobile app. We partner with staffing firms and consumer technology platforms to offer a complete mobile solution that is integrated real time with their systems. At the heart of swipejobs is a transformational matching technology that matches on-demand workers with employers.",201-500,http://www.swipejobs.com,"['mobile platform', 'smart phone technology', 'cutting edge tech stack', 'innovation', 'mobile apps']",Software Development,"[{'name': 'swipejobs', 'link': 'https://www.linkedin.com/company/swipejobs-us', 'industry': 'Staffing and Recruiting', 'location': 'Dallas, Texas'}, {'name': 'Rokt', 'link': 'https://www.linkedin.com/company/rokt', 'industry': 'Software Development', 'location': None}, {'name': 'Corestaff Services', 'link': 'https://www.linkedin.com/company/corestaff-services', 'industry': 'Staffing and Recruiting', 'location': 'Atlanta, GA'}, {'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'HCF Australia', 'link': 'https://au.linkedin.com/company/hcf', 'industry': 'Insurance', 'location': 'Sydney, NSW'}, {'name': 'Premier Employment Solutions', 'link': 'https://www.linkedin.com/company/premier-employment-solutions', 'industry': 'Staffing and Recruiting', 'location': 'Topeka, Kansas'}, {'name': 'WooliesX', 'link': 'https://au.linkedin.com/company/wooliesx', 'industry': 'Retail', 'location': None}, {'name': 'DiUS', 'link': 'https://au.linkedin.com/company/dius-computing', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Influence', 'link': 'https://www.linkedin.com/company/useinfluence', 'industry': 'IT Services and IT Consulting', 'location': 'Fremont, California'}]",
5,Bigtincan,https://www.linkedin.com/company/bigtincan,"Level 6, 338 Pitt Street, Sydney, NSW, Australia",2000,,2011.0,"Bigtincan is helping the world’s leading brands facilitate the buying experience of the future. Everything we offer is designed to be smart, flexible, and easily adapted to unique business processes with highly personalized experiences that people and brands love. We’re on a mission to help companies deliver branded buying experiences that are engaging, personalized, provide value and guide people to the best decisions with confidence. Innovative companies like Nike, Guess, Prudential, and Starwood Hotels trust Bigtincan to enable customer-facing teams to intelligently prepare, engage, measure and continually improve the buying experience for their customers. For more information about Bigtincan (ASX: BTH), visit: www.bigtincan.com or follow @bigtincan on Twitter.",201-500,http://www.bigtincan.com,"['Enterprise Content Enablement', 'Sales Marketing Alignment', 'Sales Enablement Automation', 'Sales Enablement', 'Revenue Enablement', 'LMS', 'Learning', 'Sales Training', 'Document Automation', 'Sales Content Management', 'Sales Coaching']",Software Development,"[{'name': 'Brainshark', 'link': 'https://www.linkedin.com/company/brainshark', 'industry': 'Software Development', 'location': 'Waltham, MA'}, {'name': 'Veelo - A Bigtincan™ Company', 'link': 'https://www.linkedin.com/company/veelo', 'industry': 'IT Services and IT Consulting', 'location': 'Portland, Oregon'}, {'name': 'Seismic', 'link': 'https://www.linkedin.com/company/seismic', 'industry': 'Software Development', 'location': 'San Diego, CA'}, {'name': 'ClearSlide', 'link': 'https://www.linkedin.com/company/clearslide-inc-', 'industry': 'Technology, Information and Internet', 'location': 'San Francisco, California'}, {'name': 'Highspot', 'link': 'https://www.linkedin.com/company/highspot', 'industry': 'Software Development', 'location': 'Seattle, Washington'}, {'name': 'Allego', 'link': 'https://www.linkedin.com/company/allego-inc-', 'industry': 'Software Development', 'location': 'Waltham, Massachusetts'}, {'name': 'Gong', 'link': 'https://www.linkedin.com/company/gong-io', 'industry': 'Software Development', 'location': 'San Francisco, California'}, {'name': 'Salesloft', 'link': 'https://www.linkedin.com/company/salesloft', 'industry': 'Software Development', 'location': 'Atlanta, GA'}, {'name': 'Agnitio - A Bigtincan Company', 'link': 'https://dk.linkedin.com/company/agnitio', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Outreach', 'link': 'https://www.linkedin.com/company/outreach-saas', 'industry': 'Software Development', 'location': 'Seattle, Washington'}]",
6,"Enable, a Fujitsu company",https://www.linkedin.com/company/enable-a-fujitsu-company,"Level 7, 600 Bourke Street, Melbourne, Victoria, Australia",3000,,2014.0,"Enable is a pure-play ServiceNow consultancy—100% dedicated to the delivery of ServiceNow advisory, consulting and delivery services. With more than 350 consultants in our ServiceNow practice, we’re the most qualified, certified and capable ServiceNow partner in the APJ region.We’ve been recognised as ServiceNow’s Global Services Excellence Partner of the Year, APJ IT Workflow Partner of the Year 2021, APJ Customer Workflow Partner of the Year 2022, APJ and Global App Development Platform Partner of the Year 2022 and APJ Elite Partner of the Year for 2020, 2021 and 2022. And our fast growth has been highlighted by our 3 time CRN Fast50 achievements in 2017, 2018, 2019.Our focus is enterprise service management, and we have deep knowledge of and experience in digital and business transformation. Enable has dedicated practices in Customer Service Experience, IT Transformation, Employee Service Experience and Integrated Risk Management. We also have Innovation and Organisational Change Management practices that are intrinsic to everything we do. Our Principal Consultants and consulting and delivery team bring many years of experience and innovation across all ServiceNow modules, including HR, GRC, SecOps, CSM, ITOM, ITBM and ITSM.Headquartered in Australia, we have offices in Melbourne, Sydney, Adelaide, Perth and Brisbane, plus centres of excellence (with development teams) in Noida and Bangalore, India and Manila, Philippines. We cover the south and north Asia markets through our offices in Singapore, Hong Kong and Philippines.",201-500,http://www.enableps.com/,"['ServiceNow', 'PAAS & SAAS', 'User & Customer Experience', 'Enterprise Service Management', 'Consulting', 'Digital Transformation', 'Application Development', 'UX', 'Cloud', 'GRC', 'Security Operations', 'CSM', 'IRM', 'Customer Service Management', 'ITSM', 'ITOM', 'OCM', 'Organisational Change Management']",Information Technology & Services,[],
7,Fivecast,https://www.linkedin.com/company/fivecast,"North Terrace, Adelaide, South Australia, Australia",5067,,2017.0,"The mission of Fivecast is to enable a safer world. Fivecast is a world-leading provider of digital intelligence solutions that enable the world’s most important public and private organizations to explore masses of data, uncovering actionable insights which are critical to protecting global communities.",51-200,https://fivecast.com/,,Software Development,"[{'name': 'Energy Exemplar', 'link': 'https://au.linkedin.com/company/energy-exemplar', 'industry': 'Software Development', 'location': 'Adelaide, SA'}, {'name': 'PixelForce', 'link': 'https://au.linkedin.com/company/pixelforce', 'industry': 'Business Consulting and Services', 'location': 'Kent Town, South Australia'}, {'name': 'Seed Terminator', 'link': 'https://au.linkedin.com/company/seed-terminator', 'industry': 'Industrial Machinery Manufacturing', 'location': 'Lonsdale, South Australia'}, {'name': 'ODD Games Pty Ltd', 'link': 'https://au.linkedin.com/company/odd-games', 'industry': 'Entertainment Providers', 'location': 'Adelaide, South Australia'}, {'name': 'Lumary', 'link': 'https://au.linkedin.com/company/lumaryau', 'industry': 'Software Development', 'location': None}, {'name': 'Prevail Partners Limited', 'link': 'https://uk.linkedin.com/company/prevail-partners-ltd', 'industry': 'Security and Investigations', 'location': None}, {'name': 'Data to Decisions CRC', 'link': 'https://au.linkedin.com/company/data-to-decisions-crc', 'industry': 'Defense and Space Manufacturing', 'location': 'Kent Town, SA'}, {'name': 'Fleet Space Technologies', 'link': 'https://au.linkedin.com/company/fleet-space-technologies', 'industry': 'Telecommunications', 'location': 'Beverley, South Australia'}, {'name': 'Foxie Games', 'link': 'https://au.linkedin.com/company/foxie-games', 'industry': 'Entertainment Providers', 'location': 'Adelaide, SA'}, {'name': 'AZZO', 'link': 'https://au.linkedin.com/company/azzo-pty-ltd', 'industry': 'IT Services and IT Consulting', 'location': 'Tonsley Innovation District, SA'}]",
10,Microsoft,https://www.linkedin.com/company/microsoft,"1 Denison Street, North Sydney, NSW, Australia",2060,,,"Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. When we show up, we achieve more together. 

Microsoft operates in 190 countries and is made up of more than 220,000 passionate employees worldwide.",10001-0,https://news.microsoft.com/,"['Business Software', 'Developer Tools', 'Home & Educational Software', 'Tablets', 'Search', 'Advertising', 'Servers', 'Windows Operating System', 'Windows Applications & Platforms', 'Smartphones', 'Cloud Computing', 'Quantum Computing', 'Future of Work', 'Productivity', 'AI', 'Artificial Intelligence', 'Machine Learning', 'Laptops', 'Mixed Reality', 'Virtual Reality', 'Gaming', 'Developers', 'IT Professional']",Software Development,"[{'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Apple', 'link': 'https://www.linkedin.com/company/apple', 'industry': 'Computers and Electronics Manufacturing', 'location': 'Cupertino, California'}, {'name': 'Meta', 'link': 'https://www.linkedin.com/company/meta', 'industry': 'Software Development', 'location': 'Menlo Park, CA'}, {'name': 'IBM', 'link': 'https://www.linkedin.com/company/ibm', 'industry': 'IT Services and IT Consulting', 'location': 'Armonk, New York, NY'}, {'name': 'Netflix', 'link': 'https://www.linkedin.com/company/netflix', 'industry': 'Entertainment Providers', 'location': 'Los Gatos, CA'}, {'name': 'LinkedIn', 'link': 'https://www.linkedin.com/company/linkedin', 'industry': 'Software Development', 'location': 'Sunnyvale, CA'}, {'name': 'Oracle', 'link': 'https://www.linkedin.com/company/oracle', 'industry': 'IT Services and IT Consulting', 'location': 'Austin, Texas'}, {'name': 'Deloitte', 'link': 'https://www.linkedin.com/company/deloitte', 'industry': 'Business Consulting and Services', 'location': None}, {'name': 'Amazon Web Services (AWS)', 'link': 'https://www.linkedin.com/company/amazon-web-services', 'industry': 'IT Services and IT Consulting', 'location': 'Seattle, WA'}]",
12,Infosys,https://www.linkedin.com/company/infosys,"Level 18 241 Adelaide Street, Brisbane, QLD, Australia",4000,,1981.0,"Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.",10001-0,https://www.infosys.com,"['IT Solutions and Services', 'Consulting', 'Business Process Outsourcing', 'Products and Platforms', 'Engineering Services', 'Cloud Services', 'Artificial Intelligence', 'Digital', 'Big Data']",IT Services and IT Consulting,"[{'name': 'Tata Consultancy Services', 'link': 'https://in.linkedin.com/company/tata-consultancy-services', 'industry': 'IT Services and IT Consulting', 'location': 'Mumbai, Maharashtra'}, {'name': 'Wipro', 'link': 'https://in.linkedin.com/company/wipro', 'industry': 'IT Services and IT Consulting', 'location': 'Bangalore, Karnataka'}, {'name': 'Cognizant', 'link': 'https://www.linkedin.com/company/cognizant', 'industry': 'IT Services and IT Consulting', 'location': 'Teaneck, New Jersey'}, {'name': 'Accenture', 'link': 'https://ie.linkedin.com/company/accenture', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Capgemini', 'link': 'https://fr.linkedin.com/company/capgemini', 'industry': 'IT Services and IT Consulting', 'location': 'Paris, France'}, {'name': 'IBM', 'link': 'https://www.linkedin.com/company/ibm', 'industry': 'IT Services and IT Consulting', 'location': 'Armonk, New York, NY'}, {'name': 'Tech Mahindra', 'link': 'https://in.linkedin.com/company/tech-mahindra', 'industry': 'IT Services and IT Consulting', 'location': 'Pune, Maharashtra'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Deloitte', 'link': 'https://www.linkedin.com/company/deloitte', 'industry': 'Business Consulting and Services', 'location': None}, {'name': 'HCLTech', 'link': 'https://in.linkedin.com/company/hcltech', 'industry': 'IT Services and IT Consulting', 'location': 'Noida, Uttar Pradesh'}]",
13,Instawork,https://www.linkedin.com/company/instawork,", Sydney, , Australia",,,2015.0,"At Instawork, we’re driven by our vision to create economic opportunity for local businesses and skilled hourly professionals  in communities around the world. With a growing number of hub cities across the country in the U.S., Canada, India, and beyond, we’re looking for top talent to help rapidly scale our high-tech and high-touch labor marketplace. Our accomplished and dedicated team is passionate about our mission and committed to crafting revolutionary products, all with the backing of our world-class investors, including Benchmark, Spark Capital, Craft Ventures, Greylock Capital, Y Combinator, and more!

Se habla español.",501-1000,https://www.instawork.com,"['recruiting', 'technology', 'restaurants', 'hospitality', 'hiring', 'gigs', 'manufacturing', 'light industrial', 'warehousing', 'staffing', 'high volume', 'gig economy', 'app', 'ecommerce', 'supply chain', 'food & beverage', 'food service', 'staffing', 'events', 'fulfillment operations', 'logistics', 'hotels', 'venues', 'country clubs', 'catering']",Software Development,"[{'name': 'Wonolo', 'link': 'https://www.linkedin.com/company/wonolo', 'industry': 'Software Development', 'location': None}, {'name': 'Solv.', 'link': 'https://www.linkedin.com/company/solvhealth', 'industry': 'Technology, Information and Internet', 'location': 'San Francisco, California'}, {'name': 'Marco Polo', 'link': 'https://www.linkedin.com/company/joya-communications', 'industry': 'Software Development', 'location': None}, {'name': 'Good Eggs', 'link': 'https://www.linkedin.com/company/good-eggs', 'industry': 'Food and Beverage Services', 'location': 'Oakland, California'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Salesforce', 'link': 'https://www.linkedin.com/company/salesforce', 'industry': 'Software Development', 'location': 'San Francisco, CA'}, {'name': 'Qwick', 'link': 'https://www.linkedin.com/company/qwick', 'industry': 'Hospitality', 'location': 'Phoenix, Arizona'}, {'name': 'TTEC', 'link': 'https://www.linkedin.com/company/ttec', 'industry': 'Outsourcing and Offshoring Consulting', 'location': 'Englewood, Colorado'}, {'name': 'LinkedIn', 'link': 'https://www.linkedin.com/company/linkedin', 'industry': 'Software Development', 'location': 'Sunnyvale, CA'}]",
14,Nexus Silicon Technologies,https://www.linkedin.com/company/nexus-silicon-technologies,"22 Flaubert Rd, Craigieburn, Victoria, Australia",3064,,,"Provider of SOW-based staffing and solutions and global contingent workforce management to Fortune 1000 companies. 

Nexus Silicon was formed with the goal of becoming the supplier of choice for clients, employees, and contingent workers. Today, we’re one of the fastest-growing companies in Australia and ranked as one of the best companies to work for by Staffing Industry Analysts and Australia Business. 

Nexus Silicon provides high-volume staffing, SOW, and payrolling services to structured contingent workforce programs and projects across Australia, Nepal & India. We also offer contract-to-hire and direct placement. Our “No-Sell, Service-Only” approach has resulted in “Accelerated Hires,” lower costs, reduced risks, and better service for Fortune 2000 Companies, Large System Integrators, and Government Agencies.",51-200,http://www.nexussilicon.com.au,,IT Services and IT Consulting,"[{'name': 'MZEESOFT LLC', 'link': 'https://www.linkedin.com/company/mzeesoft-llc', 'industry': 'IT Services and IT Consulting', 'location': 'Lewes, Delaware'}, {'name': 'SiliconNexus', 'link': 'https://pk.linkedin.com/company/siliconnexus', 'industry': 'IT Services and IT Consulting', 'location': 'Model Town, Lahore'}, {'name': 'GBS Accountants & Advisors', 'link': 'https://au.linkedin.com/company/gbs-accountants-advisors-pty-ltd', 'industry': 'Financial Services', 'location': 'Somerton, Victoria'}, {'name': 'Infosys', 'link': 'https://in.linkedin.com/company/infosys', 'industry': 'IT Services and IT Consulting', 'location': 'Bangalore, Karnataka'}, {'name': 'Silicon Nexus', 'link': 'https://au.linkedin.com/company/silicon-nexus', 'industry': 'Software Development', 'location': 'Kilsyth, Victoria'}, {'name': 'Hays', 'link': 'https://uk.linkedin.com/company/hays', 'industry': 'Staffing and Recruiting', 'location': 'London, England'}, {'name': 'PwC Australia', 'link': 'https://au.linkedin.com/company/pwc-australia', 'industry': 'Business Consulting and Services', 'location': 'Sydney, NSW'}, {'name': 'merojob', 'link': 'https://np.linkedin.com/company/merojob', 'industry': 'Human Resources Services', 'location': 'Kathmandu, Bagmati'}, {'name': 'Leapfrog Technology, Inc.', 'link': 'https://www.linkedin.com/company/lftechnology', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Aurecon', 'link': 'https://au.linkedin.com/company/aurecon', 'industry': 'Design Services', 'location': 'Docklands, Victoria'}]",
